"Year","NMFS Name","Pounds","Metric Tons","Dollars","Confidentiality","Collection","Scientific Name","Tsn"
"1995","TUNA, BIGEYE","4,746,000","2,153","16,070,000","Public","Commercial","Thunnus obesus","172428"
"1995","BILLFISHES **","3,015,000","1,368","2,920,000","Public","Commercial","Istiophoridae","172486"
"1995","CRUSTACEANS **","56,000","25","216,000","Public","Commercial","Crustacea","83677"
"1995","SPEARFISHES **","310,000","141","240,000","Public","Commercial","Tetrapturus ","172498"
"1995","TUNA, ALBACORE","2,257,000","1,024","2,633,000","Public","Commercial","Thunnus alalunga","172419"
"1995","TUNA, SKIPJACK","1,603,000","727","1,950,000","Public","Commercial","Katsuwonus pelamis","172401"
"1995","TUNA, YELLOWFIN","4,541,000","2,060","10,685,000","Public","Commercial","Thunnus albacares","172423"
"1995","VERTEBRATES, JAWED","3,941,000","1,788","6,821,000","Public","Commercial","Gnathostomata ","914179"
"1995","SHRIMPS, PENAEID **","53,000","24","269,000","Public","Commercial","Penaeidae","95602"
"1995","TUNA, BLUEFIN PACIFIC","50,000","23","1,090,000","Public","Commercial","Thunnus orientalis","172422"
"1995","LOBSTER, CARIBBEAN SPINY","45,000","20","274,000","Public","Commercial","Panulirus argus","97648"
"1995","SNAPPERS, LUTJANIDAE (FAMILY) **","221,000","100","614,000","Public","Commercial","Lutjanidae","168845"
"1995","SHARKS, CHONDRICHTHYES (CLASS) **","2,575,000","1,168","902,000","Public","Commercial","Chondrichthyes","159785"
"1996","TUNAS **","9,000","4","13,000","Public","Commercial","Thunnus","172418"
"1996","CORALS **","1,000","0","27,000","Public","Commercial","Anthozoa","51938"
"1996","SWORDFISH","5,871,000","2,663","13,869,000","Public","Commercial","Xiphias gladius","172482"
"1996","SNAPPER, RED","473,000","215","2,089,000","Public","Commercial","Lutjanus campechanus","168853"
"1996","TUNA, BIGEYE","5,233,000","2,374","20,008,000","Public","Commercial","Thunnus obesus","172428"
"1996","BILLFISHES **","2,806,000","1,273","2,480,000","Public","Commercial","Istiophoridae","172486"
